City_Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
cayenne,4.9333,-52.3333,81.09,3.44,75,1,GF,1651937097
balkanabat,39.5108,54.3671,72.39,9.06,54,58,TM,1651937551
vung tau,10.346,107.0843,82.44,20.18,100,78,VN,1651937373
airai,-8.9266,125.4092,60.53,3.94,47,96,TL,1651937042
komsomolskiy,40.4272,71.7189,81.32,4.61,0,29,UZ,1651937069
saint anthony,45.0205,-93.218,64.49,12.66,0,53,US,1651937546
luderitz,-26.6481,15.1594,63.75,29.39,0,57,NA,1651937153
coihaique,-45.5752,-72.0662,57.15,10.36,75,77,CL,1651937222
riyadh,24.6877,46.7219,91.54,15.61,2,15,SA,1651937117
panevezys,55.7333,24.35,60.06,11.72,94,69,LT,1651937330
alofi,-19.0595,-169.9187,75.09,9.22,73,94,NU,1651937180
kijang,35.2442,129.2139,62.33,17.78,100,72,KR,1651937151
atambua,-9.1061,124.8925,73.45,6.42,36,89,ID,1651937553
leningradskiy,69.3833,178.4167,18.05,1.9,98,97,RU,1651937080
inongo,-1.95,18.2667,72.93,3.69,100,90,CD,1651937553
vulcan,45.3833,23.2667,58.48,5.61,77,55,RO,1651937554
quata,-22.2475,-50.6983,70.72,8.9,78,55,BR,1651937554
tahe,52.3333,124.7333,34.29,2.08,0,41,CN,1651937554
hluti,-27.2167,31.6167,67.46,4.63,1,50,SZ,1651937555
pacific grove,36.6177,-121.9166,55.76,8.05,0,78,US,1651937148
lucea,18.451,-78.1736,86.86,4.0,2,65,JM,1651937555
badiraguato,25.3667,-107.5167,89.04,3.51,0,30,MX,1651937556
geraldton,-28.7667,114.6,57.61,0.0,4,82,AU,1651937081
fuerte olimpo,-21.0415,-57.8738,87.94,1.45,0,30,PY,1651937556
rimbey,52.6334,-114.2353,43.63,11.23,50,54,CA,1651937418
marzuq,14.4,46.4667,85.21,13.53,39,27,YE,1651937108
vostok,46.4856,135.8833,32.81,3.11,100,96,RU,1651937558
colares,38.7992,-9.4469,77.63,9.22,0,44,PT,1651937366
ketchikan,55.3422,-131.6461,43.27,6.91,75,81,US,1651937169
seoul,37.5683,126.9778,57.63,4.61,0,48,KR,1651937185
biak,-0.9131,122.8766,77.65,0.45,100,87,ID,1651937075
changji,44.0167,87.3167,75.99,4.47,20,33,CN,1651937559
cidreira,-30.1811,-50.2056,66.34,4.29,5,64,BR,1651937102
